response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
cat,8.985515,14.325035,0.870857,0.6936470556015963,-4.1968203,4,18,5,5,1,1.0,7,0
rat,8.843021,13.56427,-0.05801153,0.6936470556015963,-1.6457851,4,19,6,1,0,2.0,8,0
mouse,8.734669,15.928724,0.2110622,1.09894556645823,-1.7819946,4,20,6,2,1,1.0,9,0
bird,9.1650715,12.545109,0.64898264,0.6936470556015963,-1.1208868,4,21,7,1,0,2.0,10,0
cardinal,8.624529,12.663534,-2.5171301,1.3865443298750981,-2.831417,4,22,7,2,0,0.0,11,0
blue jay,6.4708285,15.93688,-2.310217,0.6936470556015963,-1.9953327,4,23,7,3,0,1.0,12,0
robin,8.414458,15.113188,-1.7855048,1.09894556645823,-1.6153948,4,24,7,4,0,3.0,12,1
black bird,6.114208,16.016294,-0.72169423,0.6936470556015963,-1.3374208,4,25,7,5,0,3.0,12,2
crow,8.2725,14.710543,-1.7845786,0.6936470556015963,-1.271288,4,26,7,6,0,3.0,12,3
turkey,8.929881,13.847445,-1.7151693,1.3865443298750981,-1.3468747,4,27,7,7,0,2.0,13,0
vulture,7.3094864,13.627554,-1.5841992,2.8904273119085677,-1.4243608,4,28,7,8,0,1.0,14,0
eagle,8.609032,15.503002,-1.903922,1.09894556645823,-1.3941405,4,29,7,9,0,3.0,14,1
hawk,8.229741,15.588108,-1.5486708,1.09894556645823,-1.3372679,4,30,7,10,1,3.0,14,2
mountain lion,6.5962234,12.411354,-1.2286553,3.4657671523114555,-1.2557465,4,31,8,1,1,2.0,15,0
elephant,8.278831,12.983052,0.5827914,1.09894556645823,-1.66688,4,32,9,1,0,0.0,16,0
giraffe,7.0409007,15.255891,1.7233582,2.1973356822749484,-2.3036509,4,33,9,2,0,0.0,17,0
lion,8.663146,14.160519,1.1276553,1.3865443298750981,-1.8026911,4,34,9,3,0,0.0,18,0
tiger,8.281227,15.957723,0.58249664,0.6936470556015963,-2.1294904,4,35,9,4,0,1.0,19,0
zebra,7.33688,13.330191,1.0181093,1.6096378924367667,-0.78202546,4,36,9,5,0,2.0,20,0
antelope,7.662615,14.874509,-2.3209233,1.7919261220073759,-1.1671141,4,37,9,6,0,1.0,21,0
horse,9.460777,13.325546,-0.51891565,0.0009995003330834232,-1.7594746,5,2,2,1,0,,0,0
cow,8.763902,15.285967,-0.64451075,1.09894556645823,-2.0098982,5,3,2,2,0,1.0,1,0
pig,8.733592,15.466529,-0.43317556,0.0009995003330834232,-1.2808335,5,4,2,3,1,3.0,1,1
dolphin,7.705347,12.365727,1.1312795,1.7919261220073759,-1.1131513,5,5,3,1,1,2.0,2,0
mouse,8.734669,10.411816,0.2110622,1.6096378924367667,-3.5639567,5,6,4,1,0,0.0,3,0
gerbil,6.3419065,14.040016,1.1986861,1.09894556645823,-2.1690621,5,7,4,2,1,0.0,4,0
chicken,8.703944,12.111195,-0.36407304,1.6096378924367667,-1.6022922,5,8,5,1,0,0.0,5,0
goose,8.162916,14.352972,-0.26029122,0.6936470556015963,-1.118467,5,9,5,2,0,1.0,6,0
potbellied pig,4.569573,13.699302,0.23672295,2.5650262775800314,-1.2277925,5,10,5,3,1,3.0,6,1
hamster,7.4689918,13.47061,0.8201952,2.833272165855592,-0.7242227,5,11,6,1,0,2.0,7,0
ferret,7.2498455,14.586778,-0.36220145,2.639128755635788,-1.265931,5,12,6,2,1,1.0,8,0
raccoon,7.2334986,13.872202,-0.14996529,1.9460529959950605,-0.9342921,5,13,7,1,0,3.0,8,1
skunk,7.2660403,15.479865,-1.2435367,1.6096378924367667,-1.7543497,5,14,7,2,0,3.0,8,2
squirrel,7.886292,14.710587,0.20738745,1.6096378924367667,-1.4091824,5,15,7,3,1,3.0,8,3
polar bear,6.879763,12.461123,0.9793277,3.178095496146581,-1.6022499,5,16,8,1,0,2.0,9,0
grizzly,7.461551,14.739552,-0.4407581,0.6936470556015963,-2.2972298,5,17,8,2,1,1.0,10,0
penguin,8.166074,12.994495,0.13859695,2.3026850879943788,-2.0780926,5,18,9,1,0,2.0,11,0
seal,9.017472,13.411737,-1.4291961,0.6936470556015963,-2.228002,5,19,9,2,1,0.0,12,0
monkey,8.25998,11.181959,1.4139525,1.6096378924367667,-1.5694425,5,20,10,1,0,0.0,13,0
giraffe,7.0409007,13.176134,1.7233582,1.09894556645823,-2.569364,5,21,10,2,0,0.0,14,0
buffalo,8.841423,14.344847,-1.7932403,1.09894556645823,-2.1109536,5,22,10,3,0,0.0,15,0
bison,7.5698485,14.599199,-1.0473256,0.0009995003330834232,-0.98003376,5,23,10,4,1,1.0,16,0
lion,8.663146,12.931952,1.1276553,1.9460529959950605,-1.2751949,5,24,11,1,0,2.0,17,0
tiger,8.281227,15.957723,0.58249664,1.09894556645823,-2.1938124,5,25,11,2,0,1.0,18,0
cheetah,6.6782866,14.8747015,1.2123458,1.7919261220073759,-0.76774883,5,26,11,3,0,2.0,19,0
gazelle,7.1171856,13.546426,-0.03973782,2.3026850879943788,-0.72893107,5,27,11,4,0,0.0,20,0
antelope,7.662615,16.051407,-2.3209233,1.09894556645823,-1.0832183,5,28,11,5,1,1.0,21,0
koala,6.4397144,12.256466,1.880491,2.079566533867987,-0.95164585,5,29,12,1,1,2.0,22,0
sloth,7.2696533,13.618213,-0.65872157,1.7919261220073759,-1.9858731,5,30,13,1,0,1.0,23,0
bird,9.1650715,11.8872175,0.64898264,0.0009995003330834232,-1.7594746,6,2,2,1,1,,0,0
squirrel,7.886292,13.655547,0.20738745,1.09894556645823,-3.586871,6,3,3,1,0,1.0,1,0
chipmunk,6.6536546,15.877527,1.1690071,1.09894556645823,-1.9996355,6,4,3,2,1,3.0,1,1
elephant,8.278831,12.598904,0.5827914,2.1973356822749484,-1.6251608,6,5,5,1,0,2.0,2,0
lion,8.663146,14.317562,1.1276553,1.09894556645823,-2.8648293,6,6,5,2,0,0.0,3,0
