pid,response,RT,response,invalid
28,lion,2686.0,lion,
28,tiger,549.0,tiger,
28,cheetah,261.0,cheetah,
28,jaguar,327.0,jaguar,
28,leopard,9474.0,leopard,
28,cheetah,283.0,cheetah,
28,cougar,11089.0,cougar,
28,lunc,450.0,lunc,1
28,lynx,1094.0,lynx,
28,bobcat,2716.0,bobcat,
28,hyena,556.0,hyena,
28,wolf,427.0,wolf,
28,domestic dog,2599.0,dog,
28,wolfdog,427.0,wolfdog,
28,sheep,609.0,sheep,
28,goat,278.0,goat,
28,lamb,356.0,lamb,
28,piglet,943.0,piglet,
28,pig,273.0,pig,
28,cow,627.0,cow,
28,calf,763.0,calf,
28,bull,945.0,bull,
28,chick,476.0,chick,
28,chicken,291.0,chicken,
28,rooster,238.0,rooster,
28,hen,566.0,hen,
28,duck,626.0,duck,
28,swan,284.0,swan,
28,goose,299.0,goose,
28,mallard duck,1831.0,mallard duck,
28,african grey,1287.0,african grey parrot,
28,macaw,330.0,macaw,
28,toucan,391.0,toucan,
28,cockatiel,400.0,cockatiel,
28,cockatoo,400.0,cockatoo,
28,parakeet,4261.0,parakeet,
28,lovebird,439.0,lovebird,
28,parrotlet,352.0,parrotlet,
28,kakariki,2455.0,kakariki,
28,indian ring neck,6713.0,indian ringneck,
28,African ring neck,243.0,african ringneck,
28,budgie,315.0,budgerigar,
28,finch,361.0,finch,
28,swallow,310.0,swallow,
28,starling,2057.0,starling,
28,bluetit,303.0,blue tit,
28,bluejay,670.0,blue jay,
28,woodpecker,2065.0,woodpecker,
28,mockingbird,347.0,mockingbird,
28,eagle,204.0,eagle,
28,falcon,339.0,falcon,
28,kestrel,1876.0,kestrel,
28,heron,423.0,heron,
28,salmon,346.0,salmon,
28,trout,1004.0,trout,
28,mackrel,442.0,mackrel,
28,cod,285.0,cod,
28,haddock,466.0,haddock,
28,seahorse,318.0,seahorse,
28,starfish,267.0,starfish,
28,clownfish,391.0,clownfish,
28,catfish,636.0,catfish,
28,tetra,18345.0,tetra,
28,neon tetra,401.0,neon tetra,
28,cuttlefish,2152.0,cuttlefish,
29,ant,14160.0,ant,
29,spider,527.0,spider,
29,centipede,552.0,centipede,
29,worm,271.0,worm,
29,snake,223.0,snake,
29,lizard,2236.0,lizard,
29,aligator,4133.0,alligator,
29,crocodile,512.0,crocodile,
29,hippo,2057.0,hippopotamus,
29,buffalo,1869.0,buffalo,
29,cow,1006.0,cow,
29,horse,5709.0,horse,
29,dog,27246.0,dog,
29,cat,281.0,cat,
29,mouse,419.0,mouse,
29,guiniea pig,402.0,guinea pig,
29,gerbil,580.0,gerbil,
29,chipmunk,232.0,chipmunk,
29,chinchilla,6124.0,chinchilla,
29,rabbit,764.0,rabbit,
29,hare,1031.0,hare,
29,deer,3454.0,deer,
29,fox,20018.0,fox,
29,wolf,286.0,wolf,
29,hyena,84326.0,hyena,
30,cat,8966.0,cat,
30,dog,411.0,dog,
30,guineapig,4762.0,guinea pig,
30,hamster,398.0,hamster,
30,gerbil,1450.0,gerbil,
30,rat,438.0,rat,
30,mouse,417.0,mouse,
30,rabbit,8806.0,rabbit,
30,lizard,7353.0,lizard,
30,snake,378.0,snake,
30,tiger,2012.0,tiger,
30,lion,348.0,lion,
30,zebra,2178.0,zebra,
30,horse,500.0,horse,
30,elephant,1704.0,elephant,
30,rhino,1105.0,rhinoceros,
30,meerkat,5760.0,meerkat,
30,lemar,11069.0,lemur,
30,tortise,1406.0,tortoise,
30,turtle,1451.0,turtle,
30,frog,1297.0,frog,
30,fish,319.0,fish,
30,donkey,3660.0,donkey,
30,pony,833.0,pony,
30,dolphin,7337.0,dolphin,
30,whale,224.0,whale,
30,flamingo,4834.0,flamingo,
30,emu,817.0,emu,
30,giraffe,3717.0,giraffe,
30,zebra,11785.0,zebra,
30,koala,4968.0,koala,
30,panda,376.0,panda,
30,snail,7999.0,snail,
30,slug,756.0,slug,
30,frlog,13727.0,frog,
30,toad,469.0,toad,
30,parrot,12034.0,parrot,
30,canary,381.0,canary,
